,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
ENSSSCG00000000037,29.60006841,29.21288355,29.05532514,28.91961317,29.2924975,29.10084426,28.98109498,29.08621359,29.12087229,28.94689708,28.94864979,29.32101366,29.02670141,29.21355436,29.24274892,29.48295565,29.12862621,29.0209559,29.28052242,29.18131651,29.0632522,29.188789,28.89699543,29.08290806,29.34421868,29.1548146,29.57191707,29.25221126,29.31286295,29.10672413,29.10010886,29.15910615,28.78714123,29.12148092,29.20760859,29.15483833
ENSSSCG00000000038,31.37221017,31.80495095,31.15457855,31.18695963,31.22529114,31.02235412,30.94819903,31.29802973,31.18382205,31.28197629,30.80971013,31.04187163,31.28329188,31.24146264,31.00556712,31.1551193,31.23896728,31.0660659,31.27851654,30.994548,31.71945348,31.46111666,31.76658256,30.94717513,31.08010378,31.12972866,31.39725331,31.16288999,31.19265731,31.19730496,31.39668881,31.0537139,31.51877384,31.73564566,31.33199884,31.46139493
ENSSSCG00000000039,28.11439683,28.03032648,28.02571349,27.70024368,28.0160188,27.9777701,28.03757893,27.86807252,28.00038368,27.76833791,27.83450442,27.84934264,27.90661225,28.10906859,27.85331223,28.07205393,28.02631795,28.04815947,27.95779231,27.9892687,28.09139366,27.94021754,27.97682599,27.81113516,28.06161042,27.99762713,28.17088437,27.87954643,27.97591375,27.9422512,27.7750365,27.88247691,27.60606592,28.01518663,28.07348638,28.10234946
ENSSSCG00000000042,27.34118846,27.21342439,26.40575853,26.46131589,27.09550111,26.92544194,26.1581221,26.58498997,26.0931459,26.24258719,26.44905372,26.4377678,26.76029386,26.13826623,26.2898829,27.39422674,26.25557021,25.8510309,26.71836351,27.96726339,26.99074651,26.44742931,26.43867258,26.11187235,26.47914826,26.75370155,26.99503453,26.8154161,26.68320064,26.6906458,26.09241074,26.96428263,27.30255245,27.19945075,27.00371611,26.71467937
ENSSSCG00000000050,22.20407533,25.23276088,24.24601491,24.53031868,24.28306627,22.33265993,24.89233708,25.14441738,24.8742215,24.76355813,23.82661651,25.29233736,24.62084382,24.76777517,25.71177407,22.39226788,24.9880899,25.37933323,24.32525665,22.19143655,24.84152051,25.77775185,25.7285486,25.3509184,25.27413792,25.54139795,25.79619684,25.55177154,24.59657828,24.87493709,24.15287538,21.85715276,22.99230616,25.3060297,24.87605683,25.98607119
ENSSSCG00000000058,29.68789111,29.34313994,29.21777672,29.10533838,29.19765442,29.13721187,29.32499054,29.00881412,29.02857161,29.11768071,29.17176883,28.93093783,28.92335833,28.85370811,28.74639703,29.28180491,28.95087882,29.71593226,29.10329601,29.14624508,29.19937323,29.10028855,28.88660561,29.14026657,29.06098466,29.12342516,29.13380971,29.29440158,29.13004295,28.95825425,28.87223866,29.30396037,29.01180721,29.13999309,29.26404021,29.03030748
ENSSSCG00000000059,28.11895872,27.98543348,27.96043434,28.13496355,28.18519942,27.98776283,28.27359932,28.04934379,28.16303912,28.2391481,27.94063277,27.98265287,27.8283656,27.95492658,27.8900318,28.01208914,27.78317954,27.74212471,28.15027024,28.13456825,27.64534805,27.87911256,27.85116789,27.88458619,27.98978143,28.39816506,28.13900031,27.89982561,28.09697649,27.73493895,28.14071207,27.94036613,27.79799803,28.1307667,27.76542306,27.98476853
ENSSSCG00000000060,25.55995076,25.84868973,25.23685491,25.61498108,25.76976476,25.81472253,25.91961001,25.82126198,25.97375718,25.7049304,25.44493761,25.45739661,25.43023788,25.63869522,25.53756934,26.08302505,25.45816876,25.98277516,25.58967229,25.92650261,25.13102712,25.49633891,25.75489993,25.6182658,25.71698211,25.8334614,26.19212551,25.53705004,25.75214799,26.02517972,25.4531084,25.85112897,25.63056688,25.23432823,25.6752747,26.11550301
ENSSSCG00000000061,27.09947029,26.33570718,26.20432901,26.02814859,26.14778741,25.68561492,26.59700634,26.74240656,26.60511258,26.50943321,26.48958153,26.216034,25.65611929,25.73491053,26.4460021,26.30749778,25.64598392,26.39124,25.61702278,25.82002598,25.65063589,26.28561338,26.59999257,26.66418164,26.02485994,27.3356236,26.35958226,26.25614921,26.39369402,25.90396614,25.39966914,26.07438347,26.30020469,26.17332716,26.42264752,26.54828606
ENSSSCG00000000062,25.38918674,25.1447644,25.16140268,24.2123486,24.88573077,25.64830177,27.16497577,24.88725954,24.45513717,24.00946836,24.81390546,25.25693203,24.26641308,25.55078813,25.58313191,25.44613475,24.48112991,27.11550154,24.03206028,25.20089688,24.65765631,24.73449865,24.59635399,23.80010413,24.73592367,25.26279728,25.00770094,24.52963257,24.65261232,24.96584558,24.71614281,24.66450768,24.66746647,24.90549177,25.6752747,24.90575203
ENSSSCG00000000063,27.28139973,26.83469646,26.9280761,26.950302,27.54869579,27.66240753,26.82181009,26.89602975,27.30358429,27.03877619,27.09438884,26.79329389,27.2223756,27.00402644,26.94195959,27.63191829,27.12802016,26.83077206,26.93488121,27.03362146,27.10301275,26.65388019,26.57062371,26.52563483,27.13122496,26.85909733,27.0838438,26.67455356,26.81181091,26.77477293,27.28891001,27.31876862,27.10688812,26.95929821,26.71709488,26.4076044
